indicator,market,lag_days,pearson_r,pearson_p,spearman_r,spearman_p,kendall_r,kendall_p,granger_p,mutual_info,regime,computed_at,min_p,category,is_significant,unexpected,abs_pearson
gtrends_IPO allotment,ret_BANKNIFTY,30,0.03337067855160472,0.20519071826053645,0.03879647294643618,0.14074218680799527,0.025853977608928616,0.1411960720702972,0.9571758118641415,0.04271382561764536,all,1773591017.83056,0.14074218680799527,digital,False,False,0.03337067855160472
gtrends_EMI calculator,ret_BANKNIFTY,30,0.032093054259972296,0.22308299582481678,0.0014382924515271294,0.9564660094185236,-0.0009630989873150756,0.9562893964030915,0.9509627070200096,0.08862977155810192,all,1773591017.83056,0.22308299582481678,digital,False,False,0.032093054259972296
gtrends_gold price,ret_NIFTYIT,30,0.030354632726302306,0.24918021556421635,0.02353472286109289,0.3716650943034736,0.015413532210961674,0.3803847419426579,0.00011442100253472923,0.02704870832120676,all,1773591017.83056,0.24918021556421635,digital,False,False,0.030354632726302306
reservoir_level,ret_NIFTYIT,13,0.028688508022391326,0.2706924107644066,0.024866805976225745,0.3397346292598747,0.016084178429452468,0.3550564539044675,0.6823439745316455,0.010957851071480285,all,1773591017.83056,0.2706924107644066,agricultural,False,False,0.028688508022391326
gtrends_IPO allotment,ret_NIFTY50,30,0.028078956318152357,0.2862941253282968,0.03550983648108891,0.1774556617970976,0.022795586017661438,0.19437365583310795,0.9704991330175207,0.04295891430172727,all,1773591017.83056,0.1774556617970976,digital,False,False,0.028078956318152357
cement_dispatches,ret_NIFTYFMCG,30,-0.026968298459497133,0.30849038361610726,-0.033590693639840775,0.2045832834815729,-0.02266218330359474,0.19949361831215506,0.7584454210024969,0.011274858810743638,all,1773591017.83056,0.19949361831215506,other,False,False,0.026968298459497133
gtrends_Nifty,ret_BANKNIFTY,0,-0.026110251270063542,0.318273399144049,-0.0450098066022415,0.08525281879311114,-0.03071889527422309,0.07835170589526418,,0.05186929840577825,all,1773591017.83056,0.07835170589526418,digital,False,False,0.026110251270063542
wheat_mandi,ret_BANKNIFTY,6,-0.025567300455564896,0.3256451907253665,-0.03510483336227413,0.17708500516711945,-0.02462218811103192,0.1558484353718453,0.7998535576765791,0.061403410169026174,all,1773591017.83056,0.1558484353718453,other,False,False,0.025567300455564896
rice_mandi,ret_NIFTYFMCG,0,-0.024947512520415764,0.33948384445865293,-0.008295905187561164,0.7507974265219912,-0.004948095150532421,0.7763820485987135,,0.006846346950318605,all,1773591017.83056,0.33948384445865293,other,False,False,0.024947512520415764
cement_dispatches,ret_BANKNIFTY,9,-0.02317265839416209,0.3767634719314768,-0.04806651761010032,0.0666218366302299,-0.03254466878351572,0.06272411500299419,0.8847189391555994,0.05398345926999237,all,1773591017.83056,0.06272411500299419,other,False,False,0.02317265839416209
